left_eye_center_x,left_eye_center_y,right_eye_center_x,right_eye_center_y,nose_tip_x,nose_tip_y,mouth_center_bottom_lip_x,mouth_center_bottom_lip_y
67.03979,33.440063,24.962923,34.519093,51.9487,59.25889,51.46338,82.91411
65.074005,36.73006,25.806385,26.44521,47.213257,52.447433,49.520515,70.15013
63.812977,38.12987,26.147442,32.81348,42.77914,58.768867,48.339607,69.980865
59.57093,40.368576,27.231659,36.772568,47.260933,62.869526,49.88433,72.17933
58.92205,36.238445,26.256992,31.21669,52.040962,56.742245,46.577164,77.860405
67.2406,36.680595,25.098785,33.72414,48.64523,61.048225,52.5785,78.85663
67.48541,38.251404,30.216568,34.793407,44.619053,65.95941,47.69255,75.530106
64.39342,33.897892,19.389824,25.974796,46.297733,54.28961,53.838284,78.56206
64.14003,38.380745,26.06126,28.557636,43.25368,62.016167,43.555508,74.79368
57.46399,31.76474,24.362324,32.933594,48.456253,55.15209,39.13687,71.41589
64.93211,40.120182,23.443459,32.272175,40.242355,62.71446,44.97314,75.27195
63.490128,36.809696,26.839617,33.285698,46.377266,65.038864,46.180878,72.59989
66.346405,39.29538,26.091663,31.19558,48.746784,63.74706,50.08753,72.75349
64.87028,38.570976,27.95832,33.080345,48.734016,59.52252,49.622967,69.75471
60.39647,33.7969,18.89864,25.732288,39.984283,65.88971,40.146095,72.17723
61.8277,37.79024,21.704288,32.524555,45.90028,62.006252,45.82554,69.478584
57.293427,38.581417,29.13012,32.041325,44.421715,64.188095,47.3772,66.70794
58.25406,36.954502,21.217762,32.78917,43.22652,56.40144,47.994373,77.32831
63.938816,34.713764,26.67362,33.758152,48.5567,59.501923,49.663868,77.184204
62.024086,35.993484,23.453243,31.465904,41.598145,59.810852,50.999878,70.627014
62.93268,37.492172,23.20884,32.174564,46.77889,51.544544,45.28022,73.73507
66.02195,40.577515,24.578564,30.828007,46.40188,58.589962,45.77507,76.97101
63.13661,35.639885,22.684196,31.828028,43.62792,63.635593,46.517197,68.77777
67.39634,36.50402,24.303741,29.861065,39.04556,58.629467,44.33046,73.291824
56.517937,35.951393,26.80249,33.047142,47.521553,54.1893,46.86956,73.045135
60.686752,40.794697,25.046799,31.585882,42.159718,65.06918,48.11123,74.396454
64.96813,40.95288,27.058258,30.800625,45.3328,67.767044,47.783806,74.66384
66.600784,35.35938,24.950481,29.308727,42.10998,58.87517,51.383205,74.93467
63.057255,36.12841,23.960102,33.397263,46.42236,53.30037,48.802288,81.816315
64.29165,38.287434,26.4441,32.198032,46.166885,64.88784,49.277794,76.622986
63.693523,38.05772,21.958519,33.8463,50.34401,65.91657,50.686783,62.46024
65.61899,41.62995,27.129997,36.906086,42.593998,66.182175,47.384293,71.61171
56.75638,37.079056,28.52581,27.219938,46.86056,64.323586,56.081345,74.79581
60.862564,40.81282,21.085526,30.862427,42.89783,59.363194,48.847565,72.28906
59.100048,39.86876,25.860516,38.03173,49.09659,67.370895,43.58567,76.6299
64.833496,35.312336,22.154915,28.876667,44.866776,56.271217,47.051483,79.72949
64.14456,40.233322,29.346806,33.88153,47.80342,62.12779,49.79007,69.382034
64.38809,33.49175,22.664352,30.288979,49.725597,52.280685,47.746845,74.64904
65.11026,35.127777,32.01807,33.63863,51.65422,65.30913,46.18564,71.433464
63.94607,35.342033,24.505142,30.615414,42.05296,64.249725,45.609505,64.62783
62.97661,34.452744,22.642979,33.73017,41.189377,55.38707,51.93651,73.45994
59.767033,36.247395,27.831474,31.839552,48.844673,58.684856,52.611435,71.46209
68.532974,38.11335,23.162777,33.7995,50.74343,64.03963,53.66945,74.161804
68.23209,36.15033,28.020304,30.209568,46.311108,61.389576,49.572315,72.148834
65.68141,38.244682,25.757774,30.419231,46.6391,59.439476,50.625763,75.53784
67.08964,41.050655,26.340866,33.80591,41.645523,54.3708,52.523087,78.05477
63.911606,35.072956,20.707886,27.345379,42.593323,58.820297,49.546204,68.3858
67.59973,36.640076,26.129177,29.282825,47.731976,48.343132,50.273666,78.57171
66.36211,36.68679,26.920776,30.612244,47.356884,58.709404,44.861492,77.311104
64.87017,38.580555,26.774818,30.903847,46.49259,54.132694,49.07388,78.07406
67.11455,34.587048,21.914356,33.75116,50.67923,60.618355,49.131523,68.8766
64.91489,38.820602,27.09132,32.08998,46.89499,64.999405,48.520348,73.24371
60.047756,33.62741,24.997452,36.45589,46.763588,49.029266,51.219902,68.271774
63.65901,39.78426,24.5803,31.895596,45.573765,53.830833,44.282833,74.53523
63.08574,34.977177,26.15908,29.092066,49.100136,62.43369,43.093353,67.8225
59.987263,34.725925,24.691298,33.899822,44.327385,62.053726,47.490906,60.219475
65.29207,42.170643,24.202944,33.218117,50.22307,57.748154,51.95211,72.33991
62.241337,36.93463,23.60134,25.447327,47.369682,56.999695,48.835617,72.51899
58.44668,36.558357,24.804787,30.361637,48.036385,54.71069,48.814453,71.27979
66.84735,38.031635,26.755959,30.05797,45.388077,63.122505,46.58667,70.33673
64.24533,34.16781,24.56018,25.466778,42.27683,61.902367,50.936417,69.1228
63.971046,41.842422,25.284248,34.133564,44.621773,59.79642,51.978966,70.44425
58.05955,38.871925,25.020203,30.86905,46.274303,58.263256,44.93715,71.95643
64.95331,41.93681,26.108337,30.385418,46.954247,63.233208,51.02114,68.59459
66.67337,36.422344,28.24345,24.442554,47.52986,64.27148,59.065735,84.16126
63.566082,37.25751,23.655561,28.318146,46.98578,54.851246,52.277664,71.10511
66.101006,39.7745,26.478222,39.85403,44.871284,66.72069,47.395084,70.332794
62.082787,38.91691,24.61977,33.87903,44.472107,56.69449,51.466393,78.60406
61.06436,45.024426,22.007042,31.240105,47.922745,63.648617,50.01995,72.92737
63.306587,39.89346,27.591995,30.07827,38.3532,64.13248,48.021652,72.894066
68.944824,34.941437,24.076214,21.042345,44.202637,56.844727,47.383453,70.08962
61.341957,40.092533,22.725067,36.850758,44.34416,55.758324,48.475662,79.14934
61.100418,40.68881,26.984718,27.645374,45.83188,65.76912,49.770416,74.326614
64.47544,40.55757,27.811195,33.624363,42.782265,66.659195,49.91427,73.423386
65.446365,41.21438,27.21843,31.750277,44.884842,62.243214,48.544083,65.08331
63.565144,39.901443,28.372868,32.296185,50.875935,65.78613,49.924408,74.614815
67.15939,40.088158,23.118423,31.441624,44.51316,60.967472,48.40511,71.00785
67.94098,40.062233,23.290184,34.213715,43.593037,70.77307,51.444313,67.68987
65.35862,39.037376,25.82584,34.380722,41.38418,59.103928,53.076492,68.394646
58.05165,34.298447,26.6852,28.963734,47.859413,56.339928,50.74012,75.93962
59.15649,42.961876,27.399231,34.042862,44.79711,64.26099,47.66519,71.28436
66.460266,37.381203,27.428299,34.358418,50.194756,52.6459,48.758636,75.07248
64.212906,29.43731,24.937508,30.557976,47.229343,53.537384,50.21128,71.999565
62.73905,34.453476,25.394836,33.990566,51.173096,52.439106,48.846214,72.0267
64.48891,39.71663,26.34798,32.78113,44.993423,66.3471,49.747322,75.79164
62.653233,38.826706,20.030792,27.169436,44.213463,66.110245,49.540466,72.084465
63.31581,35.156296,21.52483,30.039188,46.919594,62.680584,50.37245,79.13533
66.26814,35.547806,24.086578,32.965027,46.14806,57.71643,50.376404,74.323494
66.56119,39.968414,25.54607,28.959888,49.376144,64.42482,47.312225,78.77623
65.453545,40.77163,30.297493,32.16089,43.654125,63.886997,50.45246,75.03567
62.51641,34.716904,21.38599,31.788406,45.82255,57.691566,48.434654,70.81965
60.49751,33.735313,26.978687,33.42121,47.838196,49.406605,53.279655,74.37508
60.778576,38.13365,21.9819,28.740185,45.627083,51.392197,52.89735,76.183556
47.526157,28.55249,19.898201,28.874668,39.43354,49.954628,26.63657,60.431953
68.688446,34.162434,21.135666,26.250225,44.158554,61.42661,50.348362,76.17567
66.89813,40.175087,24.021603,31.965322,42.797832,58.597496,49.725895,78.535355
57.68022,37.78321,22.194664,28.407455,40.567776,62.697098,45.158348,70.54245
64.34917,40.462456,26.391443,33.947388,48.072407,61.931007,50.720703,69.077805
69.99448,40.7451,27.455025,28.213617,44.875107,59.341084,49.64544,71.561386
67.43862,40.318893,21.71067,30.581375,45.051907,62.787376,46.172848,78.49584
63.376614,36.754906,27.00875,34.74584,44.90818,54.635124,50.273254,65.59125
61.24214,37.559906,22.051579,33.39431,44.16969,58.237846,49.949364,69.50718
63.311405,35.880627,29.035618,33.148003,44.868156,64.60856,46.36386,74.34656
61.836815,37.823532,22.865143,30.055017,42.57054,48.564697,46.949898,68.10124
62.7231,41.171288,27.563774,35.171,42.298634,61.956253,48.266075,76.92529
63.231133,40.379913,24.461123,27.29167,45.650925,62.669952,52.851204,70.95862
64.28634,35.7427,23.908665,34.600655,48.342056,52.872265,47.948715,73.56256
63.35503,43.665535,30.48019,34.9088,44.06379,63.61655,43.601654,74.32683
65.26445,38.159454,23.262238,31.455318,46.888298,58.230705,54.032005,70.13546
60.19725,43.049744,25.943935,33.689014,45.744625,61.404594,47.89155,73.32057
64.02726,34.91514,22.646381,35.59232,49.729668,60.634403,51.178818,75.083046
65.61038,37.15419,26.359812,35.557285,43.58355,65.13568,52.374847,72.38741
64.77115,34.311142,23.830044,33.12496,50.32982,67.84677,54.00142,70.23676
69.42186,37.334507,27.065544,31.607357,45.714108,62.276608,46.839554,66.62967
62.51675,38.009438,25.070118,27.567852,44.611202,55.70996,47.54863,74.790855
63.32852,43.084824,25.120667,31.29377,44.93872,65.54689,48.480778,74.41274
63.162907,39.199505,23.08178,35.333424,45.76748,55.859657,46.84988,77.72854
62.347908,37.57731,28.178772,31.083899,42.675495,64.68358,52.704285,67.07818
63.31889,39.397427,24.617275,36.54072,44.849213,63.94075,50.752426,69.78562
67.89992,32.324238,28.938976,31.857586,39.75617,68.99284,49.613464,73.32437
59.827652,37.890636,22.252419,29.757439,41.92834,60.35377,47.341976,74.49416
58.418896,39.700253,22.166649,28.376778,37.719967,58.361267,45.546333,71.6826
64.62669,41.15061,27.301273,30.102196,43.34558,63.608414,48.40161,72.02611
66.53821,38.306206,27.490376,31.591824,46.048203,65.20351,49.427475,75.14739
57.867176,32.111572,25.06313,33.589077,50.397324,53.10031,51.63246,72.160736
61.870937,34.594265,23.156246,33.249096,43.716843,60.012962,46.819225,63.697598
63.221684,41.61033,14.138732,25.988201,40.469986,57.440163,39.909096,68.074394
64.67207,38.52721,23.019659,29.468346,48.4049,60.637848,48.784912,65.39904
63.39094,42.293213,24.384674,29.45879,44.251904,61.639412,50.374043,71.50718
64.42792,37.340714,21.768635,33.18132,46.03852,61.97764,51.875587,72.12613
64.11198,34.28693,32.085266,36.48356,45.83705,65.457565,45.079273,75.52055
63.281033,43.777847,33.378128,30.113457,41.73755,60.41417,50.971535,75.1062
62.534843,39.15069,26.94704,32.165596,41.052185,66.93831,49.44634,71.4531
58.29123,32.89991,23.489162,39.14624,46.901104,63.167484,49.492203,65.484566
65.23248,40.641823,28.31985,36.3619,47.47948,63.59327,51.715645,67.74848
63.289055,36.794754,23.229557,29.60152,46.263626,53.84163,49.30668,75.78775
64.2755,37.508385,25.170921,30.881191,40.716972,60.022053,48.231194,73.558304
61.755558,36.36371,24.983536,28.384798,45.125378,63.56853,47.60624,75.528755
67.0081,37.290054,22.606709,29.57796,43.03493,57.17007,47.41783,72.99038
64.77491,42.30848,28.204071,31.372826,45.219593,60.498505,46.811123,74.76167
62.56129,35.873783,28.999393,31.715601,43.208744,59.328186,52.45043,71.95327
62.024727,33.811874,22.499252,33.38517,44.071915,59.68578,47.47664,72.23678
63.652473,38.558777,22.697521,33.895065,46.202393,61.5198,50.94835,69.99462
64.955414,41.776268,28.797039,37.473717,42.91474,65.47684,48.043755,73.40706
60.55782,36.124817,20.942318,26.246433,45.07309,53.979893,49.01229,72.70924
64.53839,37.851406,24.003803,26.858242,42.860764,56.526558,47.20911,76.80587
68.163605,34.30453,28.170792,31.715351,49.162735,57.81751,52.774185,79.445015
59.50392,35.456062,20.955074,35.445343,43.278526,67.170395,51.282383,68.58217
62.795345,36.553123,20.13023,33.222057,46.674026,61.293697,46.59919,68.62852
64.055595,35.114002,26.752884,31.574928,45.44624,62.542236,50.82114,74.075806
64.29854,38.373272,27.466616,33.12704,48.328842,68.39972,52.101128,74.24257
63.810024,37.743996,31.878185,34.502514,46.325165,69.3989,52.833008,75.65685
68.719826,39.088654,25.909428,32.19306,44.74942,59.629852,48.71387,73.43206
60.742065,33.98832,23.30948,33.1754,44.255344,54.54959,45.044216,74.56235
65.962814,40.165302,27.909283,32.693077,45.111015,61.486782,50.512184,70.249985
60.5407,37.02881,26.402134,35.67198,45.532707,62.82494,49.806576,71.46655
61.685005,33.91796,18.043503,32.21647,48.273457,54.908295,49.163696,74.13112
62.085632,41.05273,27.73804,34.597015,46.677532,62.925945,48.83629,66.215126
62.48884,42.36423,22.310022,27.478073,40.05826,54.952087,43.530632,77.8611
62.890812,35.162735,24.271107,30.105772,46.07122,60.229668,43.60687,76.163124
61.956184,34.610054,22.35896,35.646233,45.189274,53.3078,47.74112,80.378876
65.87157,39.374054,23.409878,30.539686,41.27157,62.59192,48.865593,75.81979
66.44246,34.27424,20.55096,28.941015,47.626354,59.639442,51.977196,74.971634
65.9424,32.39845,25.677263,30.207336,45.044514,61.027863,45.21599,75.91343
59.37457,39.268288,26.796322,34.81679,41.99871,63.10312,46.83128,69.34578
67.256935,35.037144,25.349457,32.38394,49.538193,62.185158,52.291313,74.89267
65.41103,37.341007,21.488071,32.5126,45.59424,61.98742,49.458046,76.90126
61.884132,38.585056,27.857853,26.621996,43.606117,63.82456,44.247856,68.83226
59.730446,37.345886,28.659355,29.604187,48.92181,57.493366,55.065437,77.55223
58.140358,38.093384,21.199135,32.558464,47.113346,54.17965,51.92302,74.81023
59.310623,28.854748,24.177486,34.587894,45.841656,61.521183,50.02639,68.09851
66.06132,45.650223,26.33474,28.47889,49.5372,65.75022,54.399063,71.57905
60.53447,32.806812,31.86893,33.83824,40.759834,48.32848,49.391937,75.287315
64.65008,38.6642,23.212193,31.04974,46.11162,66.249374,47.727295,72.51186
61.935417,43.813652,30.032658,40.470066,50.979416,66.36069,49.54563,73.69585
